id;panel_solar;potencia;tension;valor
1;Monocristalino Restar Solar;210;12;317.585
2; Monocristalino JA SOLAR;550;24;718.523
3;Monocristalino PERC EcoGreen;550;24;1.152.002
4;Monocristalino PERC EcoGreen;340;24;615.938
5; Monocristalino PERC EcoGreen;450;24;889.963
6; Policristalino EcoGreen;150;12;340.75
7; Policristalino ;340;24;815.819
8; Monocristalino JA SOLAR;455;24;699.638
9; Monocristalino PERC JA Solar;380;24;703.125
10; Monocristalino EcoGreen;540;24;778.557
11; Monocristalino Canadian Solar;445;24;1.164.574
