Latitude (deg.): 2.889
Longitude (deg.): -73.784
"A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)"
"-180.0		0.4		-0.0		0.0		-180.0		0.0"
"-172.5		0.8		-18.8		0.0		-164.9		0.0"
"-165.0		0.4		-33.9		0.0		-151.8		0.0"
"-157.5		0.8		-44.7		0.0		-141.4		0.0"
"-150.0		0.8		-52.1		0.0		-133.6		0.0"
"-142.5		0.8		-57.1		0.0		-127.9		0.0"
"-135.0		0.8		-60.7		0.0		-123.5		0.0"
"-127.5		1.1		-63.1		0.0		-120.3		0.0"
"-120.0		1.1		-64.8		0.0		-117.9		0.0"
"-112.5		1.1		-65.9		0.0		-116.1		0.0"
"-105.0		1.1		-66.5		0.0		-114.8		0.0"
"-97.5		1.9		-66.7		0.0		-113.9		0.0"
"-90.0		3.4		-66.6		0.0		-113.4		1.1"
"-82.5		5.7		-66.1		5.7		-113.3		8.0"
"-75.0		5.7		-65.2		12.5		-113.5		14.9"
"-67.5		3.4		-63.9		19.3		-114.1		21.8"
"-60.0		2.7		-62.1		26.0		-115.2		28.6"
"-52.5		3.8		-59.7		32.5		-116.9		35.3"
"-45.0		5.0		-56.5		38.9		-119.3		41.9"
"-37.5		5.7		-52.1		45.0		-122.9		48.3"
"-30.0		5.3		-46.4		50.7		-127.9		54.4"
"-22.5		5.3		-38.6		55.7		-135.3		60.1"
"-15.0		3.4		-28.2		59.9		-146.1		64.8"
"-7.5		3.4		-15.1		62.7		-161.2		68.2"
"0.0		3.1		0.0		63.7		180.0		69.4"
"7.5		3.1		15.1		62.7		161.2		68.2"
"15.0		3.1		28.2		59.9		146.1		64.8"
"22.5		3.4		38.6		55.7		135.3		60.1"
"30.0		3.1		46.4		50.7		127.9		54.4"
"37.5		3.1		52.1		45.0		122.9		48.3"
"45.0		3.4		56.5		38.9		119.3		41.9"
"52.5		3.4		59.7		32.5		116.9		35.3"
"60.0		3.8		62.1		26.0		115.2		28.6"
"67.5		4.6		63.9		19.3		114.1		21.8"
"75.0		4.6		65.2		12.5		113.5		14.9"
"82.5		4.2		66.1		5.7		113.3		8.0"
"90.0		4.2		66.6		0.0		113.4		1.1"
"97.5		4.6		66.7		0.0		113.9		0.0"
"105.0		4.6		66.5		0.0		114.8		0.0"
"112.5		4.6		65.9		0.0		116.1		0.0"
"120.0		4.6		64.8		0.0		117.9		0.0"
"127.5		4.2		63.1		0.0		120.3		0.0"
"135.0		3.4		60.7		0.0		123.5		0.0"
"142.5		1.9		57.1		0.0		127.9		0.0"
"150.0		2.3		52.1		0.0		133.6		0.0"
"157.5		1.1		44.7		0.0		141.4		0.0"
"165.0		1.5		33.9		0.0		151.8		0.0"
"172.5		0.8		18.8		0.0		164.9		0.0"
"180.0		0.4		0.0		0.0		180.0		0.0"
A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)
PVGIS (c) European Union, 2001-2025
