id,Area,H_hor,A_sun(w),H_sun(w),A_sun(s),H_sun(s)
1,-180.0,0.4,-0.0,0.0,-180.0,0.0
2,-172.5,0.8,-18.8,0.0,-164.9,0.0
3,-165.0,0.4,-33.9,0.0,-151.8,0.0
4,-157.5,0.8,-44.7,0.0,-141.4,0.0
5,-150.0,0.8,-52.1,0.0,-133.6,0.0
6,-142.5,0.8,-57.1,0.0,-127.9,0.0
7,-135.0,0.8,-60.7,0.0,-123.5,0.0
8,-127.5,1.1,-63.1,0.0,-120.3,0.0
9,-120.0,1.1,-64.8,0.0,-117.9,0.0
10,-112.5,1.1,-65.9,0.0,-116.1,0.0
11,-105.0,1.1,-66.5,0.0,-114.8,0.0
12,-97.5,1.9,-66.7,0.0,-113.9,0.0
13,-90.0,3.4,-66.6,0.0,-113.4,1.1
14,-82.5,5.7,-66.1,5.7,-113.3,8.0
15,-75.0,5.7,-65.2,12.5,-113.5,14.9
16,-67.5,3.4,-63.9,19.3,-114.1,21.8
17,-60.0,2.7,-62.1,26.0,-115.2,28.6
18,-52.5,3.8,-59.7,32.5,-116.9,35.3
19,-45.0,5.0,-56.5,38.9,-119.3,41.9
20,-37.5,5.7,-52.1,45.0,-122.9,48.3
21,-30.0,5.3,-46.4,50.7,-127.9,54.4
22,-22.5,5.3,-38.6,55.7,-135.3,60.1
23,-15.0,3.4,-28.2,59.9,-146.1,64.8
24,-7.5,3.4,-15.1,62.7,-161.2,68.2
25,0.0,3.1,0.0,63.7,180.0,69.4
26,7.5,3.1,15.1,62.7,161.2,68.2
27,15.0,3.1,28.2,59.9,146.1,64.8
28,22.5,3.4,38.6,55.7,135.3,60.1
29,30.0,3.1,46.4,50.7,127.9,54.4
30,37.5,3.1,52.1,45.0,122.9,48.3
31,45.0,3.4,56.5,38.9,119.3,41.9
32,52.5,3.4,59.7,32.5,116.9,35.3
33,60.0,3.8,62.1,26.0,115.2,28.6
34,67.5,4.6,63.9,19.3,114.1,21.8
35,75.0,4.6,65.2,12.5,113.5,14.9
36,82.5,4.2,66.1,5.7,113.3,8.0
37,90.0,4.2,66.6,0.0,113.4,1.1
38,97.5,4.6,66.7,0.0,113.9,0.0
39,105.0,4.6,66.5,0.0,114.8,0.0
40,112.5,4.6,65.9,0.0,116.1,0.0
41,120.0,4.6,64.8,0.0,117.9,0.0
42,127.5,4.2,63.1,0.0,120.3,0.0
43,135.0,3.4,60.7,0.0,123.5,0.0
44,142.5,1.9,57.1,0.0,127.9,0.0
45,150.0,2.3,52.1,0.0,133.6,0.0
46,157.5,1.1,44.7,0.0,141.4,0.0
47,165.0,1.5,33.9,0.0,151.8,0.0
48,172.5,0.8,18.8,0.0,164.9,0.0
49,180.0,0.4,0.0,0.0,180.0,0.0
